Release Date,Season,Episode,Episode Title,Name,Sentence
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,But how you can let her marry someone like that?
2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,Well… Look at me. You're a Stark of Winterfell. You know our words.
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,Winter is coming.
2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,"You were born in the long summer. You've never known anything else. But now winter is truly coming. And in the winter, we must protect ourselves, look after one another. Sansa is your sister."
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,I don't hate her. Not really.
2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,"I don't want to frighten you, but I won't lie to you either. We've come to a dangerous place. We cannot fight a war amongst ourselves. All right? Go on. It's yours."
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,I can keep it?
2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,"Try not to stab your sister with it. If you're going to own a sword, you'd better know how to use it."
2011-05-01,Season 1,Episode 3,Lord Snow,old nan,Don't listen to it. Crows are all liars. I know a story about a crow.
2011-05-01,Season 1,Episode 3,Lord Snow,bran stark,I hate your stories.
2011-05-01,Season 1,Episode 3,Lord Snow,old nan,I know a story about a boy who hated stories. I could tell you about Ser Duncan the Tall. Those were always your favorites.
2011-05-01,Season 1,Episode 3,Lord Snow,bran stark,Those weren't my favorites. My favorites were the scary ones.
2011-05-01,Season 1,Episode 3,Lord Snow,old nan,"Oh, my sweet summer child. What do you know about fear? Fear is for the winter, when the snows fall a hundred feet deep. Fear is for the long night, when the sun hides for years and children are born and live and die all in darkness. That is the time for fear, my little Lord, when the White Walkers move through the woods. Thousands of years ago there came a night that lasted a generation. Kings froze to death in their castles, same as the shepherds in their huts. And women smothered their babies rather than see them starve, and wept and felt the tears freeze on their cheeks. So is this the sort of story that you like? In that darkness, the White Walkers came for the first time. They swept through cities and kingdoms, riding their dead horses, hunting with their packs of pale spiders big as hounds…"
2011-05-01,Season 1,Episode 3,Lord Snow,robb stark,What are you telling him now?
2011-05-01,Season 1,Episode 3,Lord Snow,old nan,Only what the little Lord wants to hear.
2011-05-01,Season 1,Episode 3,Lord Snow,robb stark,Get your supper. I want some time with him. One time she told me the sky is blue because we live inside the eye of a blue-eyed giant named Macumber.
2011-05-01,Season 1,Episode 3,Lord Snow,bran stark,Maybe we do.
2011-05-01,Season 1,Episode 3,Lord Snow,robb stark,"How do you feel? You still don't remember anything? I've seen you climb a thousand times. In the wind, in the rain... A thousand times. You never fall."
2011-05-01,Season 1,Episode 3,Lord Snow,bran stark,"I did though. It's true, isn't it... what Maester Luwin says about my legs? I'd rather be dead."
2011-05-01,Season 1,Episode 3,Lord Snow,robb stark,Don't ever say that.
2011-05-01,Season 1,Episode 3,Lord Snow,bran stark,I'd rather be dead.
2011-05-01,Season 1,Episode 3,Lord Snow,rodrick cassel,"Fewer eyes back here, my Lady. But still too many."
2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,It's nine years since I've set foot in the capital. And no one knew who I was the last time I came either.
2011-05-01,Season 1,Episode 3,Lord Snow,rodrick cassel,My Lady.
2011-05-01,Season 1,Episode 3,Lord Snow,guard,"Welcome to King's Landing, Lady Stark. Would you mind following us?"
2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,I would. We've done nothing wrong.
2011-05-01,Season 1,Episode 3,Lord Snow,guard,We've been instructed to escort you into the city.
2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,"Instructed? I don't know who's providing your instructions, but..."
2011-05-01,Season 1,Episode 3,Lord Snow,guard,"Follow me, Lady Stark."
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Cat! Go on. Go upstairs.
2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,You little worm! You take me for some back-alley Sally you can drag into a…
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,I meant no disrespect to you of all people.
2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,How dare you bring me here! Have you lost your mind?
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,No one will come looking for you here. Isn't that what like you wanted? I'm truly sorry... about the locale.
2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,How did you know I was coming to King's Landing?
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,A dear friend told me.
2011-05-01,Season 1,Episode 3,Lord Snow,varys,Lady Stark.
2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,Lord Varys.
2011-05-01,Season 1,Episode 3,Lord Snow,varys,To see you again after so many years is a blessing. Your poor hands.
2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,How did you know I was coming?
2011-05-01,Season 1,Episode 3,Lord Snow,varys,"Knowledge is my trade, my Lady. Did you bring the dagger with you, by any chance? My little birds are everywhere. Even in the north. They whisper to me the strangest stories. Valyrian steel."
2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,Do you know whose dagger this is?
2011-05-01,Season 1,Episode 3,Lord Snow,varys,I must admit I do not.
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"Well well, this is an historic day. Something you don't know that I do. There's only one dagger like this in all of the Seven Kingdoms. It's mine."
2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,Yours?
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"At least it was, until the tournament on Prince Joffrey's last nameday. I bet on Ser Jaime in the jousting, as any sane man would. When the Knight of the Flowers unseated him, I lost this dagger."
2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,To whom?
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Tyrion Lannister. The Imp.
2011-05-01,Season 1,Episode 3,Lord Snow,alliser thorne,"If that were a real sword, you'd be dead. Lord Snow here grew up in a castle spitting down on the likes of you. Pyp. Do you think Ned Stark's bastard bleeds like the rest of us?"
2011-05-01,Season 1,Episode 3,Lord Snow,alliser thorne,Next!
2011-05-01,Season 1,Episode 3,Lord Snow,alliser thorne,"Lord Snow, it appears you're the least useless person here. Go clean yourselves up. There's only so much I can stomach in a day."
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,A charming man.
2011-05-01,Season 1,Episode 3,Lord Snow,jeor mormont,I don't need him to be charming. I need him to turn this bunch of thieves and runaways into men of the Night's Watch.
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,"And how's that going, Commander Mormont?"
2011-05-01,Season 1,Episode 3,Lord Snow,jeor mormont,Slowly. A raven came for Ned Stark's son.
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,Good news or bad?
2011-05-01,Season 1,Episode 3,Lord Snow,jeor mormont,Both.
2011-05-01,Season 1,Episode 3,Lord Snow,grand maester pycelle,Lord Stark. I meant to give you this earlier. So forgetful these days. A raven from Winterfell this morning.
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Good news? Perhaps you'd like to share it with your wife?
2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,My wife is in Winterfell.
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Is she?
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,I thought that she'd be safest in here. One of several such establishments I own.
2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,You're a funny man. A very funny man.
2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,Ned! [poking her head out of a window]
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"The Starks... Quick tempers, slow minds."
2011-05-01,Season 1,Episode 3,Lord Snow,grenn,"You broke my nose, bastard!"
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,It's an improvement.
2011-05-01,Season 1,Episode 3,Lord Snow,grenn,"If we threw you over the Wall, wonder how long it'd take you to hit."
2011-05-01,Season 1,Episode 3,Lord Snow,pyp,I wonder if they'd find you before the wolves did.
2011-05-01,Season 1,Episode 3,Lord Snow,grenn,"What're you looking at, halfman?"
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,I'm looking at you. You've got an interesting face. Very distinctive faces. All of you.
2011-05-01,Season 1,Episode 3,Lord Snow,rast,What do you care about our faces?
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,"It's just I think they would look marvelous decorating spikes in King's Landing. Perhaps I'll write my sister, the Queen, about it."
2011-05-01,Season 1,Episode 3,Lord Snow,grenn,"We'll talk later, Lord Snow."
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,Everybody knew what this place was and no one told me. No one but you. My father knew and left me to rot here at the Wall all the same.
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,Grenn's father left him too... Outside a farmhouse when he was three. Pyp was caught stealing a wheel of cheese. His little sister hadn't eaten in three days. He was given a choice
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,They hate me because I'm better than they are.
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,It's a lucky thing none of them were trained by a master-at-arms like your Ser Rodrik. I don't imagine any of them have ever held a real sword before they came here. Your brother Bran. He's woken up.
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,The mere suggestion that the Queen's brother tried to kill your boy would be considered treason.
2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,We have proof. We have the blade.
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"Which Lord Tyrion will say was stolen from him. The only man who could say otherwise has no throat, thanks to your boy's wolf."
2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,Petyr has promised to help us find the truth. He's like a little brother to me. He would never betray my trust.
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,"I'll try to keep you alive, for her sake. A fool's task, admittedly, but I've never been able to refuse your wife anything."
2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,I won't forget this. You're a true friend.
2011-05-01,Season 1,Episode 3,Lord Snow,petyr baelish,Don't tell anyone. I have a reputation to maintain.
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,How could you be so stupid?
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,Calm down.
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,He's a child... 10 years old. What were you thinking?
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,I was thinking of us. You're a bit late to start complaining about it now. What has the boy told them?
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,Nothing. He's said nothing. He remembers nothing.
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,Then what are you raving about?
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,What if it comes back to him? If he tells his father what he saw...
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,We'll say he was lying. We'll say he was dreaming. We'll say whatever we like. I think we can outfox a 10-year-old.
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,And my husband?
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,I'll go to war with him if I have to. They can write a ballad about us
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,Let me go.
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,Never.
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,"The boy won't talk. And if he does, I'll kill him. Him, Ned Stark, the King... the whole bloody lot of them, until you and I are the only people left in this world."
2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,I wish I could see the girls.
2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,It's too dangerous.
2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,Just for a moment.
2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,Until we know who our enemies are...
2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,"I know they did it, Ned. The Lannisters. In my bones, I know it."
2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,Littlefinger's right. I can't do anything without proof.
2011-05-01,Season 1,Episode 3,Lord Snow,cersei lannister,And if you find the proof?
2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,"Then I bring it to Robert... And hope he's still the man I once knew. You watch yourself on the road, huh? That temper of yours is a dangerous thing."
2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,"My temper? Gods be good, you nearly killed poor Littlefinger yesterday."
2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,He still loves you.
2011-05-01,Season 1,Episode 3,Lord Snow,catelyn stark,Does he?
2011-05-01,Season 1,Episode 3,Lord Snow,eddard stark,Off with you.
2011-05-01,Season 1,Episode 3,Lord Snow,robert baratheon,It's been a long time. But I still remember every face. You remember your first?
2011-05-01,Season 1,Episode 3,Lord Snow,barristan selmy,"Of course, your Grace."
2011-05-01,Season 1,Episode 3,Lord Snow,robert baratheon,Who was it?
2011-05-01,Season 1,Episode 3,Lord Snow,barristan selmy,A Tyroshi. Never learned the name.
2011-05-01,Season 1,Episode 3,Lord Snow,robert baratheon,How'd you do it?
2011-05-01,Season 1,Episode 3,Lord Snow,barristan selmy,Lance through the heart.
2011-05-01,Season 1,Episode 3,Lord Snow,robert baratheon,"Quick one. Lucky for you. Mine was some Tarly boy at the Battle of Summerhall. My horse took an arrow so I was on foot, slogging through the mud. He came running at me, this dumb high-born lad, thinking he could end the rebellion with the single swing of his sword. I knocked him down with the hammer. Gods, I was strong then. Caved in his breastplate. Probably shattered every rib he had. Stood over him, hammer in the air. Right before I brought it down he shouted, ""Wait! Wait!""... They never tell you how they all shit themselves. They don't put that part in the songs. Stupid boy. Now the Tarlys bend the knee like everyone else. He could have lingered on the edge of the battle with the smart boys and today his wife would be making him miserable, his sons would be ingrates, and he'd be waking three times in the night to piss into a bowl. Wine! Lancel. Gods, what a stupid name. Lancel Lannister. Who named you? Some halfwit with a stutter? What are you doing?"
2011-05-01,Season 1,Episode 3,Lord Snow,lancel lannister,"It's empty, your Grace."
2011-05-01,Season 1,Episode 3,Lord Snow,robert baratheon,What do you mean it's empty?
2011-05-01,Season 1,Episode 3,Lord Snow,lancel lannister,There's no more wine.
2011-05-01,Season 1,Episode 3,Lord Snow,robert baratheon,"Is that what empty means?! So get more. Tell your cousin to get in here. Kingslayer! Get in here. Surrounded by Lannisters. Every time I close my eyes I see their blond hair and their smug, satisfied faces. It must wound your pride, huh? Standing out there like a glorified sentry. Jaime Lannister, son of the mighty Tywin... Forced to mind the door while your King eats and drinks and shits and fucks. So come on. We're telling war stories. Who was your first kill, not counting old men?"
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,One of the outlaws in the Brotherhood.
2011-05-01,Season 1,Episode 3,Lord Snow,barristan selmy,"I was there that day. You were only a squire, 16 years old."
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,You killed Simon Toyne with a counter riposte. Best move I ever saw.
2011-05-01,Season 1,Episode 3,Lord Snow,barristan selmy,"A good fighter, Toyne, but he lacked stamina."
2011-05-01,Season 1,Episode 3,Lord Snow,robert baratheon,Your outlaw... Any last words?
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,"I cut his head off, so no."
2011-05-01,Season 1,Episode 3,Lord Snow,robert baratheon,What about Aerys Targaryen? What did the Mad King say when you stabbed him in the back? I never asked. Did he call you a traitor? Did he plead for a reprieve?
2011-05-01,Season 1,Episode 3,Lord Snow,jaime lannister,"He said the same thing he'd been saying for hours... ""Burn them all."" If that's all, your Grace..."
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,The Dothraki don't believe in money. Most of their slaves were given to them as gifts.
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,From whom?
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,"If you rule a city and you see the horde approaching, you have two choices"
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,Tell them all to stop.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,You want the entire horde to stop? For how long?
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,Until I command them otherwise.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,You're learning to talk like a Queen.
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,Not a Queen. A Khaleesi.
2011-05-01,Season 1,Episode 3,Lord Snow,viserys targaryen,You dare! You give commands to me? To me? You do not command the dragon. I am Lord of the Seven Kingdoms. I don't take orders from savages or their sluts. Do you hear me?
2011-05-01,Season 1,Episode 3,Lord Snow,irri,"Rakharo ask if you want him dead, Khaleesi."
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,No!
2011-05-01,Season 1,Episode 3,Lord Snow,irri,"Rakharo say you should take ear, to teach respect."
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,"Please please, don't hurt him. Tell him I don't want my brother harmed."
2011-05-01,Season 1,Episode 3,Lord Snow,viserys targaryen,Kill these Dothraki dogs! I am your King!
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,"Shall we return to the Khalasar, Khaleesi?"
2011-05-01,Season 1,Episode 3,Lord Snow,rakharo,You walk. [to Viserys]
2011-05-01,Season 1,Episode 3,Lord Snow,benjen stark,I wanted to be here when you saw it for the first time. I'm leaving this morning.
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,You're leaving?
2011-05-01,Season 1,Episode 3,Lord Snow,benjen stark,I'm the First Ranger. My job is out there. There have been disturbing reports.
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,What kind of reports?
2011-05-01,Season 1,Episode 3,Lord Snow,benjen stark,The kind I don't want to believe.
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,m ready. I won't let you down.
2011-05-01,Season 1,Episode 3,Lord Snow,benjen stark,"You're not going. You're no ranger, Jon."
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,But I'm better than every...
2011-05-01,Season 1,Episode 3,Lord Snow,benjen stark,"Better than no one! Here... A man gets what he earns, when he earns it. We'll speak when I return."
2011-05-01,Season 1,Episode 3,Lord Snow,yoren,A bear's balls.
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,You're joking?
2011-05-01,Season 1,Episode 3,Lord Snow,yoren,"And his brains and his guts, his lungs and his heart all fried in his own fat. When you're a hundred miles north of the Wall and you ate your last meal a week ago, you leave nothing for the wolves."
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,And how do a bear's balls taste?
2011-05-01,Season 1,Episode 3,Lord Snow,yoren,"A bit chewy. And what about you, my Lord? What's the strangest thing you've eaten?"
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,"Do Dornish girls count? So you roam the Seven Kingdoms, collaring pickpockets and horse thieves and bringing them here as eager recruits?"
2011-05-01,Season 1,Episode 3,Lord Snow,yoren,But it's not all of 'em's done bad things. Some of 'em's just poor lads looking for steady feed. Some of 'em's high-born lads looking for glory.
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,They have a better chance finding feed than glory.
2011-05-01,Season 1,Episode 3,Lord Snow,benjen stark,"The Night's Watch is a joke to you, is it? Is that what we are, Lannister? An army of jesters in black?"
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,"You don't have enough men to be an army and aside from Yoren here, none of you are particularly funny."
2011-05-01,Season 1,Episode 3,Lord Snow,benjen stark,"I hope we've provided you with some good stories to tell when you're back in King's Landing. But something to think about while you're drinking your wine down there, enjoying your brothels... Half the boys you've seen training will die north of the Wall. Might be a wilding's axe that gets them, might be sickness, might just be the cold. They die in pain. And they do it so plump little lords like you can enjoy their summer afternoons in peace and comfort."
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,"Do you think I'm plump? Listen, Benjen... May I call you Benjen?"
2011-05-01,Season 1,Episode 3,Lord Snow,benjen stark,Call me what you like.
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,I'm not sure what I've done to offend you. I have great admiration for the Night's Watch. I've great admiration for you as First Ranger.
2011-05-01,Season 1,Episode 3,Lord Snow,benjen stark,"You know, my brother once told me that nothing someone says before the word ""but"" really counts."
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,"But... I don't believe that giants and ghouls and White Walkers are lurking beyond the Wall. I believe that the only difference between us and the wildlings is that when the Wall went up, our ancestors happened to live on the right side of it."
2011-05-01,Season 1,Episode 3,Lord Snow,benjen stark,"You're right. The wildlings are no different from us. A little rougher maybe. But they're made of meat and bone. I know how to track them and I know how to kill them. It's not the wildlings giving me sleepless nights. You've never been north of the Wall, so don't tell me what's out there."
2011-05-01,Season 1,Episode 3,Lord Snow,yoren,"Are you going below? Keep well, keep warm."
2011-05-01,Season 1,Episode 3,Lord Snow,benjen stark,"Enjoy the capital, brother."
2011-05-01,Season 1,Episode 3,Lord Snow,yoren,I always do.
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,"I think he's starting to like me. ""Going below""?"
2011-05-01,Season 1,Episode 3,Lord Snow,yoren,Into the tunnel and out the other side. He'll be north of the Wall for a month or two.
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,So you're heading down to King's Landing too.
2011-05-01,Season 1,Episode 3,Lord Snow,yoren,Day after tomorrow. I get about half of my recruits from their dungeons.
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,Let's share the road. I could use some decent company.
2011-05-01,Season 1,Episode 3,Lord Snow,yoren,"I travel a bit on the grubby side, my Lord."
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,Not this time. We'll be staying at the finest castles and inns. No one turns away a Lannister.
2011-05-01,Season 1,Episode 3,Lord Snow,irri,"Yes, Khaleesi."
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,What are you doing?
2011-05-01,Season 1,Episode 3,Lord Snow,irri,"When was last time you bleed, Khaleesi? You change, Khaleesi. It's a blessing from the Great Stallion."
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,"For a man on horseback, the curved blade is a good thing, easier to handle. It's a good weapon for a Dothrakan. But a man in full plate... the arakh won't get through the steel. That's where the broadsword has the advantage. Designed for piercing plate."
2011-05-01,Season 1,Episode 3,Lord Snow,rakharo,Dothraki don't wear steel dresses.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,Armor.
2011-05-01,Season 1,Episode 3,Lord Snow,rakharo,Armor. Armor make a man... Vroz?
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,Slow.
2011-05-01,Season 1,Episode 3,Lord Snow,rakharo,Slow.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,"It's true, but it also keeps a man alive."
2011-05-01,Season 1,Episode 3,Lord Snow,rakharo,My father taught me how to fight. He taught me that speed defeats size.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,I've heard that your father was a famous warrior.
2011-05-01,Season 1,Episode 3,Lord Snow,rakharo,"He was bloodrider to Khal Bharbo. And your father, Jorah the Andal? He was a warrior also?"
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,He still is. A man of great honor. And I betrayed him.
2011-05-01,Season 1,Episode 3,Lord Snow,irri,The Khaleesi wants to eat something different tonight. Kill some rabbits.
2011-05-01,Season 1,Episode 3,Lord Snow,rakharo,There are no rabbits.
2011-05-01,Season 1,Episode 3,Lord Snow,irri,"Find some ducks, she likes ducks."
2011-05-01,Season 1,Episode 3,Lord Snow,rakharo,"Have you seen any ducks, woman? No rabbits, no ducks. Do you have eyes in your head? Do you?"
2011-05-01,Season 1,Episode 3,Lord Snow,irri,Dog then. I have seen many dogs.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,I don't think she wants to eat dog.
2011-05-01,Season 1,Episode 3,Lord Snow,irri,The Khaleesi have baby inside her. It is true. She does not bleed for two moons. Her belly start to swell.
2011-05-01,Season 1,Episode 3,Lord Snow,rakharo,A blessing from the Great Stallion.
2011-05-01,Season 1,Episode 3,Lord Snow,irri,She does not want to eat horse.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,I'll have the boys butcher a goat for supper. I need to ride to Qohor.
2011-05-01,Season 1,Episode 3,Lord Snow,rhakaro,We ride for Vaes Dothrak.
2011-05-01,Season 1,Episode 3,Lord Snow,jorah mormont,Don't worry. I'll catch you. The horde's easy to find.
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,Don't stand so still. It's harder to hit a moving target. Except for you. You move too much. I could just hold my sword out and let you do the work for me.
2011-05-01,Season 1,Episode 3,Lord Snow,maester aemon,"How many winters have you seen, Lord Tyrion?"
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,"Eight... no, nine."
2011-05-01,Season 1,Episode 3,Lord Snow,maester aemon,All of them brief?
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,"They say the winter of my birth was three years long, Maester Aemon."
2011-05-01,Season 1,Episode 3,Lord Snow,maester aemon,This summer has lasted nine. But reports from the Citadel tell us the days grow shorter. The Starks are always right eventually
2011-05-01,Season 1,Episode 3,Lord Snow,jeor mormont,"We've been capturing wildlings, more every month. They're fleeing south. The ones who flee... say they've seen the White Walkers."
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,"Yes, and the fishermen of Lannisport say they see mermaids."
2011-05-01,Season 1,Episode 3,Lord Snow,jeor mormont,One of our own rangers swore he saw them kill his companions. He swore it right up to the moment Ned Stark chopped his head off.
2011-05-01,Season 1,Episode 3,Lord Snow,maester aemon,The Night's Watch is the only thing standing between the realm and what lies beyond. And it has become an army of undisciplined boys and tired old men. There are less than a thousand of us now. We can't man the other castles on the Wall. We can't properly patrol the wilderness. We've barely enough resources to keep our lads armed and fed.
2011-05-01,Season 1,Episode 3,Lord Snow,jeor mormont,Your sister sits by the side of the King. Tell her we need help.
2011-05-01,Season 1,Episode 3,Lord Snow,maester aemon,"When winter does come, gods help us all if we're not ready."
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,It's a boy.
2011-05-01,Season 1,Episode 3,Lord Snow,khal drogo,How do you know?
2011-05-01,Season 1,Episode 3,Lord Snow,daenerys targaryen,I know.
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,"I'm sorry to see you leave, Lannister."
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,It's either me or this cold. And it doesn't appear to be going anywhere.
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,Will you stop at Winterfell on your way South?
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,I expect I will. Gods know there aren't many feather beds between here and King's Landing.
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,"If you see my brother Bran, tell him I miss him. Tell him I'd visit if I could."
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,Of course.
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,He'll never walk again.
2011-05-01,Season 1,Episode 3,Lord Snow,tyrion lannister,"If you're going to be a cripple, it's better to be a rich cripple. Take care, Snow."
2011-05-01,Season 1,Episode 3,Lord Snow,jon snow,"Farewell, My Lord."
2011-05-01,Season 1,Episode 3,Lord Snow,syrio forel,"You are late, boy. Tomorrow you will be here at midday."
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,Who are you?
2011-05-01,Season 1,Episode 3,Lord Snow,syrio forel,"Your dancing master, Syrio Forel."
2011-05-01,Season 1,Episode 3,Lord Snow,syrio forel,"Tomorrow you will catch it. Now pick it up. That is not the way, boy. This is not a great sword that is needing two hands to swing it."
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,It's too heavy.
2011-05-01,Season 1,Episode 3,Lord Snow,syrio forel,It is heavy as it needs to be to make you strong. Just so. One hand is all that is needed. Now you are standing all wrong. Turn your body side-face. So. You are skinny. That is good. The target is smaller. Now the grip... Let me see. The grip must be delicate.
2011-05-01,Season 1,Episode 3,Lord Snow,arya stark,What if I drop it?
2011-05-01,Season 1,Episode 3,Lord Snow,syrio forel,"The steel must be part of your arm. Can you drop part of your arm? No. Nine years Syrio Forel was first sword to the Sealord of Braavos. He knows these things. You must listen to me, boy."
